n DoF energy cpu-times(s)
10 1000 1.66369e-01 1.11e-01
20 8000 1.66752e-01 2.26e-01
30 27000 1.66749e-01 1.83e-01
40 64000 1.66731e-01 2.53e-01
50 125000 1.66717e-01 3.51e-01
60 216000 1.66707e-01 6.71e-01
70 343000 1.66699e-01 1.06e+00
80 512000 1.66694e-01 1.76e+00
90 729000 1.66690e-01 2.94e+00
100 1000000 1.66686e-01 3.85e+00
110 1331000 1.66684e-01 5.35e+00
120 1728000 1.66682e-01 6.97e+00
130 2197000 1.66680e-01 9.63e+00
140 2744000 1.66678e-01 1.50e+01
150 3375000 1.66677e-01 1.96e+01
160 4096000 1.66676e-01 2.40e+01
170 4913000 1.66675e-01 3.42e+01
180 5832000 1.66674e-01 4.02e+01
190 6859000 1.66673e-01 5.01e+01
200 8000000 1.66671e-01 5.10e+01
