k,n,s,energy,error,run_time
4,10,100,0.1620806914014417,0.004585975265224945,0.002277967397822067
4,15,100,0.1644359482637111,0.0022307184029555505,0.0035370032011996953
4,20,100,0.16540796812972425,0.0012586985369424097,0.00435699779773131
4,25,100,0.16585900341755527,0.0008076632491113844,0.006238799402490258
4,30,100,0.16611685216688274,0.0005498144997839183,0.00791744000161998
4,35,100,0.1662727085042518,0.00039395816241485915,0.01078588180243969
4,40,100,0.16636547903317228,0.0003011876334943764,0.014913043199339882
4,45,100,0.16643804495061945,0.00022862171604720594,0.020760851801605897
4,50,100,0.16651627772851446,0.00015038893815219612,0.0267011163989082
4,55,100,0.16654153263751148,0.00012513402915517724,0.034687487396877256
4,60,100,0.16653456010200446,0.00013210656466219883,0.0436694004049059
4,65,100,0.16656173270665836,0.00010493396000829658,0.06294514160254039
4,70,100,0.1666104595669711,5.6207099695559926e-05,0.07291496900143102
5,10,100,0.1669192264074879,0.000252559740821251,0.002523219201248139
5,15,100,0.16700599174141229,0.0003393250747456278,0.003175750601803884
5,20,100,0.1669199502234739,0.00025328355680723225,0.005019628402078524
5,25,100,0.166861889628797,0.00019522296213034251,0.0067070610006339845
5,30,100,0.1668206543024616,0.0001539876357949388,0.009533900598762557
5,35,100,0.16679112095991352,0.0001244542932468673,0.012737120600650086
5,40,100,0.1667695991700976,0.00010293250343093585,0.01679635639884509
5,45,100,0.16675328114181898,8.661447515231901e-05,0.02129916860139929
5,50,100,0.1667404457183561,7.377905168945431e-05,0.02923509060055949
5,55,100,0.1667305279242437,6.386125757704142e-05,0.03746772320009768
5,60,100,0.16672259963010302,5.5932963436367e-05,0.04715103799826466
5,65,100,0.1667159681497756,4.9301483108943334e-05,0.06370021639741026
5,70,100,0.16671056570366066,4.38990369940051e-05,0.07802375580067747
6,10,100,0.1669119537478364,0.0002452870811697483,0.002744140598224476
6,15,100,0.1667641157532596,9.744908659295448e-05,0.0035237806034274398
6,20,100,0.1667239945803188,5.732791365214984e-05,0.004959580401191488
6,25,100,0.16670344867171805,3.6782005051388955e-05,0.006666851998306811
6,30,100,0.16669234490468035,2.567823801369329e-05,0.0095938106009271
6,35,100,0.1666855819241934,1.89152575267304e-05,0.01376727719907649
6,40,100,0.1666811710692295,1.4504402562842689e-05,0.01694281219970435
6,45,100,0.16667814634841216,1.1479681745502068e-05,0.022968616598518565
6,50,100,0.16667597717722482,9.310510558163676e-06,0.029013947601197288
6,55,100,0.16667435993040924,7.693263742586387e-06,0.039692050201119856
6,60,100,0.16667313644242746,6.46977576079788e-06,0.046299707202706486
6,65,100,0.1666721738392734,5.507172606750155e-06,0.0638412233965937
6,70,100,0.16667139027405092,4.7236073842660264e-06,0.08522235379787162
7,10,100,0.16669886065889797,3.219399223131081e-05,0.0034513516002334654
7,15,100,0.16668605983871332,1.9393172046661133e-05,0.004381892801029607
7,20,100,0.16667655629575706,9.889629090403806e-06,0.0060901626013219355
7,25,100,0.166672975704739,6.309038072332962e-06,0.0077603104000445455
7,30,100,0.16667097710660056,4.3104399339022326e-06,0.010655628197127953
7,35,100,0.16666980853752272,3.141870856065987e-06,0.013037870195694268
7,40,100,0.1666690557486235,2.3890819568495036e-06,0.01830971539602615
7,45,100,0.16666853998301095,1.8733163442974377e-06,0.023797699401620777
7,50,100,0.16666817518978194,1.508523115284488e-06,0.032798150001326576
7,55,100,0.16666791437577053,1.2477091038687327e-06,0.04151655140449293
7,60,100,0.1666677274010383,1.060734371644001e-06,0.05745757700060494
7,65,100,0.16666752302013182,8.563534651673255e-07,0.06670146359829232
7,70,100,0.16666737001503618,7.033483695184639e-07,0.0875816297950223
8,10,100,0.166677512011758,1.0845345091353709e-05,0.0035872633976396172
8,15,100,0.166668794175035,2.1275083683380824e-06,0.004578441201010719
8,20,100,0.166668261164513,1.5944978463411363e-06,0.007031115202698857
8,25,100,0.1666676021005481,9.354338814382412e-07,0.007669958000769838
8,30,100,0.16666732550829402,6.58841627365625e-07,0.010353390203090385
8,35,100,0.1666671426023813,4.759357146444376e-07,0.014773573202546686
8,40,100,0.1666670215369116,3.5487024493963126e-07,0.018277929397299886
8,45,100,0.16666694383677483,2.7717010817052135e-07,0.024499191401991992
8,50,100,0.16666688094623436,2.1427956770070367e-07,0.029192613397026435
8,55,100,0.1666668308380822,1.6417141554536663e-07,0.03921208800165914
8,60,100,0.1666667680327809,1.0136611425237696e-07,0.05951483740354888
8,65,100,0.1666667825433254,1.1587665874057684e-07,0.07074876319966279
8,70,100,0.16666678057402,1.1390735335514712e-07,0.08697746460093185
9,10,100,0.16665968014938715,6.986517279511384e-06,0.0039458420011214915
9,15,100,0.16666607971793007,5.86948736586157e-07,0.004847423202591017
9,20,100,0.16666608618119572,5.804854709412499e-07,0.006398662202991545
9,25,100,0.16666635609486374,3.1057180291393927e-07,0.007638327800668776
9,30,100,0.16666644613815518,2.2052851147980057e-07,0.010820217203581705
9,35,100,0.16666650702327473,1.596433919226481e-07,0.014596034202259033
9,40,100,0.16666652791460396,1.387520627005312e-07,0.018867413804400712
9,45,100,0.1666665302113281,1.364553385563294e-07,0.02469726139679551
9,50,100,0.16666657594544265,9.072122400533011e-08,0.03257638699724339
9,55,100,0.1666665746402915,9.20263751591488e-08,0.04090454860124737
9,60,100,0.1666664318028241,2.3486384256865556e-07,0.06314358140225522
9,65,100,0.16666659079173599,7.587493067173767e-08,0.07363257599645294
9,70,100,0.16666656439750388,1.0226916277722431e-07,0.08996719740098343
