k,n,s,energy,error,run_time
9,70,40,0.1665049589209176,0.00016170774574905677,0.052954591397428884
9,70,45,0.16658544838396283,8.121828270382658e-05,0.05263187059899792
9,70,50,0.16662726749192003,3.939917474662935e-05,0.05728864200063981
9,70,55,0.16664737218302084,1.929448364582087e-05,0.06250996800372377
9,70,60,0.16665697582763342,9.690839033238419e-06,0.06748612039955333
9,70,65,0.16666164857590196,5.0180907646968365e-06,0.07241455499897712
9,70,70,0.16666398599900523,2.6806676614310465e-06,0.0776703180046752
9,70,75,0.1666651914899438,1.4751767228593504e-06,0.08215472019510343
9,70,80,0.16666583251018655,8.341564801117585e-07,0.08749745580134913
9,70,85,0.16666618417645748,4.824902091749017e-07,0.0920258953992743
9,70,90,0.1666663818158907,2.8485077596673847e-07,0.09736854159855284
9,70,95,0.1666664963936978,1.7027296886351628e-07,0.10203505039680749
9,70,100,0.16666656439750388,1.0226916277722431e-07,0.10927383039961569
