k,r,s,energy,run_time
4,10,100,0.018391862442396576,0.002768760800245218
4,20,100,0.02083963890485157,0.004309112401097081
4,40,100,0.021534927289093973,0.014719109400175512
4,80,100,0.021731022678156214,0.11067295130051207
5,10,100,0.0213900096182981,0.0029148622008506207
5,20,100,0.021893717393462252,0.004547960698255337
5,40,100,0.021853803730821623,0.01541468600044027
5,80,100,0.021818426350320254,0.11416286280145868
6,10,100,0.023311003485868384,0.0029222540993941947
6,20,100,0.021841439333426242,0.004675214298185892
6,40,100,0.021807791707738437,0.016115082599571905
6,80,100,0.02179917365602243,0.11655485540104564
7,10,100,0.022172253796527264,0.0032607246015686543
7,20,100,0.021804054718571934,0.005468233602005057
7,40,100,0.021797979725507628,0.017350800699205138
7,80,100,0.021796802527064094,0.12133028289827053
