k,r,s,energy,run_time
5,20,100,0.0015317240792510956,0.003392219200031832
5,40,100,0.0015670591941448673,0.007378000998869538
5,60,100,0.0015699526691759413,0.01576514249900356
6,20,100,0.0015644516269904902,0.0036261600005673246
6,40,100,0.0015694701504303148,0.007593563201953657
6,60,100,0.0015685399566997887,0.016286793499602936
7,20,100,0.0015691216712124733,0.00412703009787947
7,40,100,0.0015676724683435649,0.008567808900261297
7,60,100,0.0015674915014778764,0.020246476100874135
8,20,100,0.0015677426902675781,0.004350024400628172
8,40,100,0.0015671098772028608,0.008401103998767211
8,60,100,0.0015672967646863196,0.020688911899924278
