k,r,s,energy,run_time
4,10,100,0.14811976699702564,0.005405230200085498
4,20,100,0.15152033398348141,0.008286967300045944
4,40,100,0.1525045254183034,0.016393171999879996
4,80,100,0.1527533083173107,0.05135415450004075
5,10,100,0.1530675269759599,0.006364983300045424
5,20,100,0.15306018407140082,0.009130856100091478
5,40,100,0.15290575672721773,0.018112146300154564
5,80,100,0.1528368791089982,0.05707177499989484
6,10,100,0.15306502527587512,0.006136367700128176
6,20,100,0.15286305219258264,0.009930062099920178
6,40,100,0.1528162246400965,0.018681665900112422
6,80,100,0.15280456382985508,0.057442537899987656
7,10,100,0.15284916952988095,0.007047818700084463
7,20,100,0.15281311256539798,0.010886895199837454
7,40,100,0.15280366171661028,0.02006093570016674
7,80,100,0.15280141942984754,0.05930973470003664
8,10,100,0.15281861677399314,0.007523954200041772
8,20,100,0.152804001565142,0.011240243899919733
8,40,100,0.15280149401740897,0.02075075699995068
8,80,100,0.15280084726625554,0.06165523700001359
