k,r,s,energy,error,run_time
4,10,100,0.162080691401444,0.004585975265222669,0.0043853381999724664
4,15,100,0.16443594826365782,0.002230718403008841,0.004660557199986215
4,20,100,0.1654079681296819,0.0012586985369847647,0.005325313800040021
4,25,100,0.16585900341794724,0.0008076632487194202,0.007033741800023563
4,30,100,0.16611685216688274,0.0005498144997839183,0.007379915799992887
4,35,100,0.16627270850348186,0.0003939581631847988,0.0089603311999781
4,40,100,0.1663654790345825,0.0003011876320841711,0.01222793239994644
4,45,100,0.1664380449507491,0.00022862171591755964,0.012852264999946784
4,50,100,0.1665162777295109,0.00015038893715577095,0.015566531600052258
4,55,100,0.1665415326441013,0.0001251340225653652,0.018433307999930548
4,60,100,0.166534560106608,0.00013210656005865906,0.021914002999983494
4,65,100,0.16656173270487662,0.000104933961790038,0.02730855680001696
4,70,100,0.16661045957077217,5.6207095894489356e-05,0.03289172420008981
5,10,100,0.1669192264074139,0.0002525597407472546,0.004898099999991246
5,15,100,0.16700599174138453,0.0003393250747178722,0.005100258999846119
5,20,100,0.1669199502231886,0.0002532835565219327,0.006003720399894519
5,25,100,0.1668618896283219,0.00019522296165525033,0.00715531120004016
5,30,100,0.1668206543024616,0.0001539876357949388,0.008631538600093335
5,35,100,0.16679112095999732,0.00012445429333066138,0.009520846200030065
5,40,100,0.16676959916804746,0.00010293250138079801,0.012944038200112118
5,45,100,0.16675328113571908,8.661446905242065e-05,0.014795742600108496
5,50,100,0.16674044578439506,7.37791177284064e-05,0.01877782939991448
5,55,100,0.16673052792558138,6.386125891472139e-05,0.0218030488000295
5,60,100,0.16672259960451918,5.59329378525264e-05,0.02460723959993629
5,65,100,0.16671596815250697,4.930148584031402e-05,0.030138599800011434
5,70,100,0.16671056570876164,4.38990420949803e-05,0.03634913219993905
6,10,100,0.16691195374813106,0.0002452870814644015,0.00509062780001841
6,15,100,0.1667641157531844,9.744908651773687e-05,0.006194053199942573
6,20,100,0.16672399457988205,5.7327913215388104e-05,0.006974300000001677
6,25,100,0.1667034486718825,3.678200521584074e-05,0.008457301599992206
6,30,100,0.16669234490468035,2.567823801369329e-05,0.009709225799997511
6,35,100,0.16668558192047703,1.8915253810369848e-05,0.011560037600065697
6,40,100,0.16668117110339817,1.4504436731510584e-05,0.014252035999925283
6,45,100,0.1666781463474032,1.1479680736531384e-05,0.0153655557998718
6,50,100,0.16667597712705173,9.31046038507577e-06,0.01844347980004386
6,55,100,0.1666743599345354,7.693267868730258e-06,0.02321122440007457
6,60,100,0.16667313669919798,6.470032531319392e-06,0.026442259999930683
6,65,100,0.16667217388104785,5.507214381195169e-06,0.03173827459995664
6,70,100,0.1666713902779383,4.723611271656436e-06,0.03437905779992434
7,10,100,0.1666988606593362,3.219399266954359e-05,0.005165067999951134
7,15,100,0.16668605983819787,1.939317153121234e-05,0.0061400172000503515
7,20,100,0.16667655629865868,9.889631992027192e-06,0.007834895000087272
7,25,100,0.16667297570523662,6.309038569962677e-06,0.008505189400057133
7,30,100,0.16667097710660056,4.3104399339022326e-06,0.009569677599938587
7,35,100,0.16666980853773383,3.141871067174895e-06,0.011634378000053403
7,40,100,0.16666905576531166,2.389098645000365e-06,0.014129718399999547
7,45,100,0.16666853997258912,1.873305922467372e-06,0.017571310799939965
7,50,100,0.1666681751559077,1.508489241047739e-06,0.021709088199895633
7,55,100,0.16666791437367462,1.2477070079619512e-06,0.022024137600055838
7,60,100,0.16666772735622354,1.0606895568809893e-06,0.029642855400015832
7,65,100,0.16666752305559757,8.563889309087802e-07,0.032005310999920766
7,70,100,0.1666673699765605,7.033098938513671e-07,0.03683628880007746
8,10,100,0.16667751201216352,1.0845345496862668e-05,0.00515993660010281
8,15,100,0.16666879417496686,2.1275083001981443e-06,0.007083589600006235
8,20,100,0.16666826116402933,1.5944973626724757e-06,0.007898081399980583
8,25,100,0.16666760211006673,9.354434000741207e-07,0.009468150599968795
8,30,100,0.16666732550824823,6.588415815689252e-07,0.010013749400059169
8,35,100,0.1666671425983426,4.759316759306298e-07,0.011925233600049979
8,40,100,0.16666702157941077,3.5491274411048046e-07,0.01485858879987063
8,45,100,0.16666694381162458,2.7714495792752203e-07,0.017936542400093458
8,50,100,0.1666668809202992,2.1425363253002594e-07,0.020961300599992683
8,55,100,0.1666668308923548,1.6422568813179161e-07,0.022749082399968756
8,60,100,0.16666676805842212,1.0139175546375334e-07,0.030277923599896894
8,65,100,0.1666667822860453,1.1561937865445238e-07,0.033751319000111836
8,70,100,0.16666678067141333,1.1400474667078164e-07,0.03914205479995871
9,10,100,0.16665968014952148,6.986517145174398e-06,0.006110420000004524
9,15,100,0.16666607972115882,5.869455078355568e-07,0.006502874199941289
9,20,100,0.1666660861925492,5.804741174675332e-07,0.007694610599901353
9,25,100,0.16666635608903124,3.10577635415088e-07,0.008888112000022375
9,30,100,0.16666644613815518,2.2052851147980057e-07,0.011027065400048741
9,35,100,0.1666665070198576,1.5964680905034e-07,0.012511134999840579
9,40,100,0.16666652785710795,1.3880955870848588e-07,0.014801251199969556
9,45,100,0.1666665301871934,1.3647947325057252e-07,0.01781893380011752
9,50,100,0.16666657585132924,9.081533741683856e-08,0.02300009640002827
9,55,100,0.16666657455288214,9.211378451667862e-08,0.02500973559999693
9,60,100,0.1666664316717297,2.3499493695400275e-07,0.02813029760000063
9,65,100,0.166666590254505,7.64121616536606e-08,0.035802125400005026
9,70,100,0.16666656438755556,1.0227911109716992e-07,0.04074314339995908
