k,r,s,energy,error,run_time
7,5,100,0.16701633127461663,0.0003496646079499677,0.004299929199987673
7,10,100,0.1666988606593362,3.219399266954359e-05,0.0046111982001093565
7,20,100,0.16667655629865868,9.889631992027192e-06,0.006941065600040019
7,30,100,0.16667097710660056,4.3104399339022326e-06,0.01016699100000551
7,40,100,0.16666905576531166,2.389098645000365e-06,0.014552761400045711
7,50,100,0.1666681751559077,1.508489241047739e-06,0.020829702599985466
7,60,100,0.16666772735622354,1.0606895568809893e-06,0.029457769199871107
7,70,100,0.1666673699765605,7.033098938513671e-07,0.03658341040008963
7,80,100,0.1666671858972401,5.192305734535996e-07,0.04539891439999337
7,90,100,0.1666671516045745,4.849379078297744e-07,0.05650841879996733
7,100,100,0.16666701980882337,3.5314215671156113e-07,0.06985606200014445
7,110,100,0.16666698529720303,3.1863053637226635e-07,0.08333352379995632
7,120,100,0.1666666585713274,8.095339260050238e-09,0.0989512078000189
