k,r,s,energy,run_time
4,10,100,0.01828363179341177,0.01369277529993269
4,20,100,0.020839064633355987,0.02248795390005398
4,40,100,0.021536066284136433,0.04022037880004063
4,80,100,0.021733054095490607,0.1130843109000125
5,10,100,0.021198816871917055,0.01471748040003149
5,20,100,0.021893885829854607,0.02200681110007281
5,40,100,0.02185375320555239,0.039381717600008415
5,80,100,0.021818431619070867,0.12333006190001469
6,10,100,0.023864785375288012,0.014685168399955728
6,20,100,0.021841471337268343,0.02327901839998958
6,40,100,0.021807792712074645,0.03885289900008502
6,80,100,0.021799178377505904,0.11347607590014377
7,10,100,0.02238066135836145,0.015300767799999448
7,20,100,0.021803169423523575,0.02574320340008853
7,40,100,0.02179797951115328,0.04650378749993252
7,80,100,0.02179679946067114,0.11923741739992692
8,10,100,0.01692304578175758,0.015943762700044318
8,20,100,0.021797454858821147,0.023540344499997444
8,40,100,0.02179638768095593,0.0437591670999609
8,80,100,0.021796437693597903,0.11212752280007407
