k,r,s,energy,run_time
5,20,100,0.0015317345969274093,0.004365086300094845
5,40,100,0.0015670552693410435,0.0076840562000143105
5,60,100,0.001569946766862583,0.01217114760002005
6,20,100,0.0015644546927710962,0.0048431307001010285
6,40,100,0.0015694704144327042,0.006972928100003628
6,60,100,0.0015685400088899736,0.010868824399949517
7,20,100,0.0015690556467263532,0.006456403500123997
7,40,100,0.0015676724577014663,0.009642398300093192
7,60,100,0.0015674914926420065,0.0171029269000428
8,20,100,0.0015677892445959763,0.00692000149992964
8,40,100,0.0015671098666142317,0.010038061100021877
8,60,100,0.0015672967392902615,0.016451675399912345
